element,image
3_55_22,5_53_21
3_56_7,5_54_6
3_56_8_0,5_54_7
3_56_10_0,5_54_9_0
3_56_10_1,5_54_9_1
3_56_11_0,5_54_10_1
3_56_12,5_54_11
3_56_13_1,5_54_12
3_56_16,5_54_15
3_56_18_0,5_54_17
3_56_21,5_54_20
3_57_7,5_55_6
3_57_8_0,5_55_7_1
3_57_8_1,5_55_7_0
3_57_9,5_55_8_1
3_57_10_0,5_55_9_2 + 5_55_9_0
3_57_10_1,5_55_9_0
3_57_11,5_55_10_2
3_57_12,5_55_11
3_57_13,5_55_12_1
3_57_15,5_55_14
3_57_18,5_55_17
3_57_20,5_55_19
3_58_7,5_56_6_0
3_58_8,5_56_7_1 + 5_56_7_2
3_58_9_0,5_56_8_1
3_58_9_1,5_56_8_2
3_58_10,5_56_9_1 + 5_56_9_2
3_58_12,5_56_11_0
3_58_13,5_56_12_0
3_58_14_0,5_56_13_0
3_58_14_1,5_56_13_1
3_58_17,5_56_16
3_58_19_0,5_56_18
3_59_7,5_57_6_1
3_59_9,5_57_8_1 + 5_57_8_0
3_59_11_0,5_57_10_1
3_59_12_0,5_57_11_1
3_59_12_1,5_57_11_2
3_59_13,5_57_12_1
3_59_16,5_57_15
3_59_20,5_57_19_1
3_60_8,5_58_7_0
3_60_9,5_58_8_2
3_60_11_0,5_58_10_0
3_60_11_1,5_58_10_1
3_60_12,5_58_11_1 + 5_58_11_0
3_60_15,5_58_14
3_60_18,5_58_17
3_61_7,5_59_6_1 + 5_59_6_0
3_61_8_0,5_59_7_0
3_61_8_1,5_59_7_1
3_61_10_0,5_59_9_0
3_61_10_1,5_59_9_1
3_61_11,5_59_10_1 + 5_59_10_2
3_61_13,5_59_12
3_61_14,5_59_13
3_61_17,5_59_16
3_62_8_0,5_60_7_1
3_62_9_0,5_60_8_0
3_62_10_0,5_60_9_0
3_62_10_1,5_60_9_1
3_62_10_2,5_60_9_2
3_62_12,5_60_11_1
3_62_13,5_60_12
3_62_15_1,5_60_14
3_62_16,5_60_15
3_63_8,5_61_7_1
3_63_9_1,5_61_8_0
3_63_9_2,5_61_8_1
3_63_11_0,5_61_10_1
3_63_13,5_61_12_0
3_63_14_0,5_61_13_0
3_63_14_1,5_61_13_1
3_63_15,5_61_14
3_64_9_0,5_62_8_1
3_64_9_1,5_62_8_0
3_64_10_0,5_62_9_3
3_64_10_1,5_62_9_2
3_64_11,5_62_10
3_64_12_0,5_62_11_0
3_64_13_0,5_62_12_0
3_64_13_1,5_62_12_2
3_64_14,5_62_13
3_65_8,5_63_7_0
3_65_9,5_63_8_2
3_65_11,5_63_10_1
3_65_12_0,5_63_11_1
3_65_12_1,5_63_11_2
3_65_13,5_63_12_1
3_66_8,5_64_7
3_66_13,5_64_12_0
3_67_10,5_65_9
3_68_8,5_66_7_1 + 5_66_7_0
3_68_9,5_66_8
3_68_10,5_66_9
3_68_11,5_66_10
3_69_7,5_67_6
3_69_9_0,5_67_8_0
3_69_9_1,5_67_8_1
3_70_9_0,5_68_8_1
3_70_9_1,5_68_8_0 + 5_68_8_1
3_71_8,5_69_7
4_3_1,7_0_0
4_3_2_1,7_0_1
4_3_3_1,7_0_2
4_3_4,7_0_3
4_3_5,7_0_4
4_3_6,7_0_5
4_3_7,7_0_6
4_3_8,7_0_7
4_3_9,7_0_8
4_3_10,7_0_9
4_3_11,7_0_10
4_3_12,7_0_11
4_3_13,7_0_12
4_3_14,7_0_13
4_3_15,7_0_14
4_3_16,7_0_15
4_3_17,7_0_16
4_3_18,7_0_17
4_3_19,7_0_18
4_3_20,7_0_19
4_3_21,7_0_20
4_3_22,7_0_21
4_3_23,7_0_22
4_3_24,7_0_23
4_3_25,7_0_24
4_3_26,7_0_25
4_3_27,7_0_26
4_4_2,7_1_1
4_5_3,7_2_2
4_6_2,7_3_1
4_6_3,7_3_2
4_6_4,7_3_3
4_9_3,7_6_2
4_10_3,7_7_2
4_10_4_0,7_7_3
4_10_5_0,7_7_4
4_11_3,7_8_2
4_11_4_1,7_8_3_0
4_11_4_2,7_8_3_1
4_12_4,7_9_3
4_12_5_0,7_9_4_0
4_12_5_1,7_9_4_1
4_12_6_1,7_9_5
4_13_4,7_10_3
4_13_5,7_10_4
4_13_6,7_10_5
4_13_7,7_10_6
4_14_4,7_11_3
4_14_6,7_11_5
4_14_7,7_11_6
4_14_8,7_11_7
4_16_5,7_13_4
4_17_4,7_14_3
4_17_5_0,7_14_4_0
4_17_5_1,7_14_4_1
4_17_6_0,7_14_5
4_17_7_0,7_14_6
4_18_5,7_15_4
4_18_6_0,7_15_5_0
4_18_6_1,7_15_5_1
4_18_7_1,7_15_6
4_18_8_0,7_15_7
4_18_9_0,7_15_8
4_19_7_0,7_16_6_0
4_19_7_1,7_16_6_1
4_19_8_1,7_16_7_0
4_19_8_2,7_16_7_1
4_20_6_0,7_17_5
4_20_7,7_17_6
4_20_8,7_17_7
4_20_9_0,7_17_8_0
4_20_9_1,7_17_8_1
4_20_10_1,7_17_9
4_21_5,7_18_4
4_21_6,7_18_5
4_21_8,7_18_7
4_21_9,7_18_8
4_21_10,7_18_9
4_21_11,7_18_10
4_22_4,7_19_3
4_22_10,7_19_9
4_22_11,7_19_10
4_22_12,7_19_11
4_23_5,7_20_4
4_23_6_0,7_20_5
4_23_7,7_20_6
