element,image
13_65_11_1,0_54_10
17_48_17_0,0_33_16
17_48_18,0_33_17
17_49_3,0_34_2
17_49_7_0,0_34_6
17_49_9_1,0_34_8
17_49_12,0_34_11
13_65_12_0,0_54_11
31_64_14_0,0_35_13
31_65_6_1,0_36_5
31_65_10_0,0_36_9
31_65_13_0,0_36_12
31_66_4,0_37_3
31_66_7_1,0_37_6
31_66_8_0,0_37_7
31_66_9,0_37_8
31_67_7_0,0_38_6_0
31_67_8_0,0_38_7
31_68_6_0,0_39_5_1
31_68_7_0,0_39_6
31_68_8_0,0_39_7
31_68_10_0,0_39_9_0
31_69_4,0_40_3
31_69_5_0,0_40_4_2
31_69_5_2,0_40_4_1
31_69_6_0,0_40_5_0
31_69_8_1,0_40_7
31_70_4_1,0_41_3
31_70_5_0,0_41_4
31_70_6_0,0_41_5
31_70_7_0,0_41_6_0
31_71_6_2,0_42_5
31_71_7_0,0_42_6
17_63_16_0,0_48_15
17_64_6_3,0_49_5
29_61_16,0_34_15
29_62_5_2,0_35_4
29_62_7_0,0_35_6
27_60_18_0,0_35_17
13_65_13_0,0_54_12
13_66_8_0,0_55_7
17_49_19,0_34_18
17_50_6_0,0_35_5
17_50_8_1,0_35_7
21_47_16_1,0_28_15
13_66_8_2,0_55_7
21_48_11,0_29_10
21_49_3,0_30_2
21_49_10,0_30_9
21_50_4_0,0_31_3
29_62_11_0,0_35_10
29_63_6_0,0_36_5
29_63_7_0,0_36_6
29_63_10_0,0_36_9
29_64_4_1,0_37_3
29_64_6_0,0_37_5
29_64_8_0,0_37_7
29_64_9_0,0_37_8
13_66_11_3,0_55_10
27_60_19,0_35_18
31_71_8_1,0_42_7
33_32_2_0,0_1_1
33_33_3_0,0_2_2
33_34_2_0,0_3_1
33_37_3_0,0_6_2
33_38_2_0,0_7_1
33_39_3_0,0_8_2
33_39_4_0,0_8_3
33_40_4_0,0_9_3_1
33_40_5_0,0_9_4
33_40_6_0,0_9_5
33_41_7_0,0_10_6
33_42_6_0,0_11_5
33_45_3_0,0_14_2
33_45_5_0,0_14_4
33_46_2,0_15_1
33_46_6_0,0_15_5
33_47_3_0,0_16_2
33_47_7_0,0_16_6
33_47_8_0,0_16_7
33_48_4_0,0_17_3
33_48_5_0,0_17_4
33_48_9_0,0_17_8
33_48_10,0_17_9
33_49_3_0,0_18_2
33_49_5_1,0_18_4
33_49_11_0,0_18_10
33_50_4_1,0_19_3
33_50_10_0,0_19_9
33_51_5_1,0_20_4
17_50_18_0,0_35_17
17_51_7_1,0_36_6
21_50_14,0_31_13
27_61_10_0,0_36_9
27_62_12_0,0_37_11
27_63_7_1,0_38_6_0
27_63_8_0,0_38_7
27_63_11_0,0_38_10
27_64_6_1,0_39_5_1
27_64_7_0,0_39_6
27_64_8_0,0_39_7
13_66_12_0,0_55_11_1
21_50_15,0_31_14
21_51_3,0_32_2
21_51_7_1,0_32_6
21_51_11,0_32_10
21_51_15_0,0_32_14
13_66_13,0_55_12_1
21_51_16_0,0_32_15
21_52_4_0,0_33_3
21_52_5_0,0_33_4_1
21_52_8_0,0_33_7
21_52_10,0_33_9
13_67_10_0,0_56_9
21_52_17,0_33_16
3_39_17,0_38_16
3_40_10_0,0_39_9_0
3_40_10_1,0_39_9_1
21_52_18,0_33_17
3_40_13,0_39_12
17_51_13,0_36_12
17_52_4_0,0_37_3
17_52_6_1,0_37_5
17_52_8_0,0_37_7
17_52_9_0,0_37_8
17_52_12,0_37_11
17_53_3,0_38_2
17_53_5_3,0_38_4
17_53_7_0,0_38_6_0
17_53_7_2,0_38_6_1
13_67_11_0,0_56_10_0
17_64_10_1,0_49_9_1 + 0_49_9_0
17_64_12,0_49_11
23_47_14,0_26_13
17_64_15_0,0_49_14_1
17_65_5_2,0_50_4
17_65_7_2,0_50_6_1
13_69_10,0_58_9
17_65_11_0,0_50_10
13_73_6,0_62_5_0
15_15_2,0_2_1
15_15_3,0_2_2
15_16_2,0_3_1
15_16_3,0_3_2
15_17_4_0,0_4_3
15_19_3_0,0_6_2
15_22_3,0_9_2
15_22_4_0,0_9_3_1
15_23_4_0,0_10_3
15_23_5_0,0_10_4
15_23_7,0_10_6
15_24_6,0_11_5
15_24_7,0_11_6
15_25_8_0,0_12_7
15_29_6,0_16_5
15_29_7_0,0_16_6
15_30_3,0_17_2
15_30_4_1,0_17_3
15_30_7_0,0_17_6
15_31_3,0_18_2
15_31_4,0_18_3
15_31_5_0,0_18_4
15_31_8_0,0_18_7
15_31_9_0,0_18_8
15_31_10_1,0_18_9
15_31_11,0_18_10
15_32_4_1,0_19_3
15_32_5,0_19_4
15_32_6_0,0_19_5
15_32_10,0_19_9
15_32_11,0_19_10
15_33_4_1,0_20_3
15_33_12_0,0_20_11
15_34_4,0_21_3
15_34_6_0,0_21_5
15_35_5_0,0_22_4
15_35_6,0_22_5
15_36_5_1,0_23_4_0 + 0_23_4_1
15_36_6_0,0_23_5
15_37_5,0_24_4
15_37_6_1,0_24_5
15_37_10_0,0_24_9
15_37_11_0,0_24_10
15_38_6_0,0_25_5
15_38_9_0,0_25_8
15_38_11_0,0_25_10
15_39_7_0,0_26_6
15_39_12_0,0_26_11
15_39_13_0,0_26_12
17_65_14_0,0_50_13
17_66_6_2,0_51_5
17_66_9_0,0_51_8
17_66_10_0,0_51_9
15_39_15,0_26_14
15_40_10_0,0_27_9
15_40_14,0_27_13
15_40_15,0_27_14
15_41_9,0_28_8
15_41_16_0,0_28_15
15_43_10,0_30_9
